,Repaired Errors Reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BugId,jGenProg,jKali,Nopol,jMutRepair,ACS,JAID,ssFix,CapGen,SketchFix,LSRepair,SimFix,kPAR,HDRepair,Tbar,Hercules,DLFix,Confix,ARJA,SequenceR,CoCoNut,CURE,sharpFix,DEAR,TRANSFER,Recoder,KNOD,AlphaRepair,SelfAPR,Repilot,Gamma,In-the-era-codex,T5APR,ChatGPT,CodeX,ChatRepair
Math_41,F,F,F,F,T,F,T,F,F,F,T,F,F,F,F,T,F,F,F,F,T,T,T,F,T,T,T,T,T,F,T,T,/,/,/
Math_53,T,F,F,F,F,T,T,T,F,F,F,F,T,F,F,F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,/,/,/
Math_56,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,T,F,F,F,F,T,F,F,T,F,F,F,/,/,/
Math_58,F,F,F,F,F,F,F,T,F,F,F,T,F,T,T,T,F,T,T,T,T,T,T,F,F,T,T,F,T,T,T,T,/,/,/
Math_59,F,F,F,F,F,T,T,T,T,F,T,F,F,T,T,T,F,F,F,T,T,T,T,T,F,T,T,T,T,T,F,T,/,/,/
Math_69,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,T,F,/,/,/
Math_75,F,F,F,F,F,F,F,T,F,T,T,T,F,T,T,T,T,F,T,F,T,T,T,T,T,T,T,T,T,T,T,T,/,/,/
Math_82,F,F,F,T,T,T,F,F,T,F,F,F,T,F,T,T,F,F,T,T,T,F,T,F,F,T,T,T,T,T,T,T,/,/,/
Math_91,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,,F,F,F,F,T,F,F,F,F,F,F,F,F,F,/,/,/
Math_94,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,T,F,F,T,T,F,F,F,T,T,T,T,T,T,T,T,/,/,/
Math_96,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,T,F,T,F,T,T,/,/,/
Math_104,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,T,F,F,T,/,/,/
Math_105,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,/,/,/
Math_2,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,T,F,F,F,F,F,T,F,F,F,F,T,/,/,/
Math_5,T,F,F,F,T,T,F,T,T,F,T,F,T,T,T,T,T,T,F,F,F,F,T,T,T,T,T,T,T,T,T,F,/,/,/
Math_11,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,T,F,F,F,T,T,T,T,T,T,T,/,/,/
Math_22A,F,F,F,F,F,F,F,F,F,F,F,F,T,T,F,F,F,T,F,T,T,F,T,T,F,F,F,T,F,T,F,F,/,/,/
Math_27,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,T,F,F,F,T,T,F,F,T,T,F,F,/,/,/
Math_30,F,F,F,F,F,F,F,T,F,F,F,F,F,T,T,T,T,F,T,T,T,F,T,T,T,T,T,T,T,T,T,T,/,/,/
Math_32,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,/,/,/
Math_34,F,F,F,F,F,F,F,F,F,F,F,F,T,T,T,F,F,F,F,T,T,F,F,T,T,T,T,F,T,T,T,T,/,/,/
Math_35A,F,F,F,F,T,F,F,F,F,F,T,F,F,T,T,F,F,F,F,F,F,F,T,T,F,F,F,F,F,F,F,T,/,/,/
Mockito_26,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,T,F,T,F,T,/,/,/
Mockito_38,F,F,F,F,F,F,F,F,F,F,F,T,F,T,F,T,F,F,F,T,T,F,T,T,T,T,T,F,F,T,F,T,/,/,/
Time_4,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,T,T,T,F,T,F,T,F,/,/,/
Time_16,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,/,/,/
Time_19,F,F,F,F,F,T,F,F,F,F,F,F,T,F,F,F,F,F,F,T,T,F,T,F,F,T,T,T,T,T,F,T,/,/,/
Time_24,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,/,/,/
Count,2,0,1,3,5,13,9,11,11,8,15,11,12,22,23,18,9,8,10,21,28,16,23,17,23,32,31,28,33,30,24,29,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,only single line,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Repair Time Reported,,,,,,,,,,,,,,,,,,,,,,,,,,
Statistics,jGenProg,jKali,Nopol,jMutRepair,ACS,JAID,ssFix,CapGen,SketchFix,LSRepair,SimFix,kPAR,HDRepair,Tbar,Hercules,DLFix,Confix,ARJA,SequenceR,CoCoNut,CURE,sharpFix,DEAR,TRANSFER,Recoder,KNOD,AlphaRepair,SelfAPR,Repilot,Gamma,In-the-era,T5APR,ChatGPT,CodeX,ChatRepair
Median,1h01m,18m45s,22m30s,N/A,30m timeout,119.5m,10.7m,5.8m,7.3m,0.6m,5h timeout,3h timeout,N/A,3h timeout,5h timeout,5h timeout,7.5m,4.7m,N/A,22.7m,N/A,11.3m,"5h timeout 
 (average time per patch reported)",3h timeout,5h timeout,5h timeout,5h timeout,N/A,N/A,5h timeout,N/A,1m23s,/,/,5h timeout
Average,55m50s,23m33s,30m53s,N/A,,N/A,N/A,9.8m,24.8m,5.1m,,,20m,,,,20.6m,10.02m,104.2m,N/A,19m,25.1m,,,,,,N/A,0.248s / 1 patch generation (5h timeout),,N/A,3m7s,/,/,
Min,40s,36s,31s,N/A,,3.6m,1.8m,0.18m,0.1m,0.2m,,,N/A,,,,0.75m,0.73m,N/A,N/A,N/A,0.7m,,,,,,N/A,N/A,,N/A,6s,/,/,
Max,1h16m,1h27m,1h54m,N/A,,2228.6m,100.5m,50.32m,208.5m,43.5m,,,N/A,,,,183.1m,63.73m,N/A,N/A,N/A,118.5m,,,,,,N/A,N/A,,N/A,37m33s,/,/,
Paper Link,https://hal.science/hal-01387556/document,,,/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7985681,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8972483,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8115676,http://castle.cse.ust.hk/castle/materials/Repair.pdf,https://dl.acm.org/doi/pdf/10.1145/3180155.3180245,https://www.darkrsw.net/papers/APSEC2018.pdf,http://hongyujohn.github.io/Shaping.pdf,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8730164,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7476644,https://www.darkrsw.net/papers/ISSTA2019.pdf,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8812131,https://dl.acm.org/doi/pdf/10.1145/3377811.3380345,https://raw.githubusercontent.com/wiki/thwak/confix2018result/confix.pdf,https://yyxhdy.github.io/files/TSE2018.pdf,https://www.cs.wm.edu/~denys/pubs/seq2seq4repair_TSE_cameraready.pdf,https://dl.acm.org/doi/pdf/10.1145/3395363.3397369,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9401997,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8823627,https://dl.acm.org/doi/pdf/10.1145/3510003.3510177,https://dl.acm.org/doi/pdf/10.1145/3510003.3510147,https://xiongyingfei.github.io/papers/FSE21b.pdf,https://www.cs.purdue.edu/homes/lintan/publications/knod-icse23.pdf,http://lingming.cs.illinois.edu/publications/fse2022a.pdf,https://dl.acm.org/doi/pdf/10.1145/3551349.3556926,https://arxiv.org/pdf/2309.00608.pdf,https://arxiv.org/pdf/2309.09308.pdf,https://lingming.cs.illinois.edu/publications/icse2023a.pdf,https://arxiv.org/pdf/2309.15742.pdf,https://arxiv.org/pdf/2301.08653.pdf,https://ieeexplore.ieee.org/document/9809175,https://arxiv.org/pdf/2304.00385.pdf
Data Link,/,/,/,https://github.com/SpoonLabs/astor-experiments/tree/master/jMutRepair,https://github.com/Adobee/ACS,https://bitbucket.org/maxpei/jaid/wiki/results.md,https://github.com/qixin5/ssFix/tree/master/expt0/patch/ssFix,https://github.com/justinwm/CapGen,,https://github.com/TruX-DTF/LSRepair,https://github.com/xgdsmileboy/SimFix,https://github.com/TruX-DTF/FL-VS-APR,https://github.com/xuanbachle/bugfixes/blob/master/fixed.txt,https://github.com/TruX-DTF/TBar,,/,/,https://github.com/yyxhdy/arja-supplemental/blob/master/arja-supplemental.pdf,https://github.com/ASSERT-KTH/sequencer,https://github.com/lin-tan/CoCoNut-Artifact/blob/master/Results/Results.xlsx,https://github.com/lin-tan/CURE/tree/master/results/Defects4Jv1.2,https://github.com/sharpFix18/sharpFix,https://drive.google.com/file/d/1yxbXAVlZ81wKY9wVox4YFcQ3fBDuGHCu/view,,https://github.com/pkuzqh/Recoder,https://github.com/lin-tan/knod/tree/main/results/defects4jv1.2,https://zenodo.org/record/6819444#.ZFXpLOxBz8Y,https://github.com/ASSERT-KTH/SelfAPR/tree/main/result,https://github.com/ise-uiuc/Repilot,https://github.com/iSEngLab/GAMMA/blob/main/results/unixcoder_results/summary.txt,https://zenodo.org/records/7592886,https://github.com/h4iku/T5APR/tree/main/results/Defects4J-1.2/outputs-multi/plausible_patches_100,,,
